date;store;type;pallets
07/may;461;FRESH GOODS;34
07/may;461;DRY GOODS;39
06/may;461;FRESH GOODS;40
06/may;461;DRY GOODS;53
02/may;461;DRY GOODS;55
05/may;461;DRY GOODS;61
03/may;461;DRY GOODS;65
04/may;461;DRY GOODS;76
04/may;462;FRESH GOODS;20
02/may;462;FRESH GOODS;21
03/may;462;FRESH GOODS;24
07/may;462;FRESH GOODS;26
05/may;462;FRESH GOODS;29
06/may;462;FRESH GOODS;33
06/may;462;DRY GOODS;38
07/may;462;DRY GOODS;38
05/may;462;DRY GOODS;61
02/may;462;DRY GOODS;63
03/may;462;DRY GOODS;64
04/may;462;DRY GOODS;64
07/may;463;DRY GOODS;34
07/may;463;FRESH GOODS;37
02/may;463;FRESH GOODS;41
03/may;463;FRESH GOODS;41
04/may;463;FRESH GOODS;47
05/may;463;FRESH GOODS;51
06/may;463;DRY GOODS;54
06/may;463;FRESH GOODS;55
02/may;463;DRY GOODS;85
04/may;463;DRY GOODS;89
05/may;463;DRY GOODS;97
03/may;463;DRY GOODS;107
07/may;464;DRY GOODS;33
07/may;464;FRESH GOODS;33
02/may;464;FRESH GOODS;38
03/may;464;FRESH GOODS;46
04/may;464;FRESH GOODS;52
05/may;464;FRESH GOODS;52
06/may;464;DRY GOODS;55
06/may;464;FRESH GOODS;57
04/may;464;DRY GOODS;83
02/may;464;DRY GOODS;85
05/may;464;DRY GOODS;88
03/may;464;DRY GOODS;122
04/may;468;FRESH GOODS;12
02/may;468;FRESH GOODS;13
07/may;468;DRY GOODS;14
03/may;468;FRESH GOODS;15
07/may;468;FRESH GOODS;15
05/may;468;FRESH GOODS;16
06/may;468;FRESH GOODS;17
04/may;468;DRY GOODS;25
06/may;468;DRY GOODS;25
03/may;468;DRY GOODS;27
02/may;468;DRY GOODS;32
05/may;468;DRY GOODS;35
02/may;494;FRESH GOODS;11
03/may;494;FRESH GOODS;11
07/may;494;FRESH GOODS;12
04/may;494;FRESH GOODS;13
05/may;494;FRESH GOODS;15
06/may;494;FRESH GOODS;18
03/may;494;DRY GOODS;21
02/may;494;DRY GOODS;22
05/may;494;DRY GOODS;27
06/may;494;DRY GOODS;27
04/may;494;DRY GOODS;31
02/may;927;FRESH GOODS;20
04/may;927;FRESH GOODS;20
03/may;927;FRESH GOODS;21
07/may;927;FRESH GOODS;22
07/may;927;DRY GOODS;24
05/may;927;FRESH GOODS;24
06/may;927;FRESH GOODS;24
04/may;927;DRY GOODS;36
03/may;927;DRY GOODS;37
06/may;927;DRY GOODS;42
02/may;927;DRY GOODS;46
05/may;927;DRY GOODS;71
07/may;1051;DRY GOODS;20
02/may;1051;FRESH GOODS;20
04/may;1051;FRESH GOODS;22
03/may;1051;FRESH GOODS;23
05/may;1051;FRESH GOODS;23
07/may;1051;FRESH GOODS;23
06/may;1051;FRESH GOODS;25
02/may;1051;DRY GOODS;26
04/may;1051;DRY GOODS;28
05/may;1051;DRY GOODS;32
06/may;1051;DRY GOODS;32
03/may;1051;DRY GOODS;36
04/may;1054;FRESH GOODS;15
07/may;1054;FRESH GOODS;15
05/may;1054;FRESH GOODS;16
02/may;1054;FRESH GOODS;19
03/may;1054;FRESH GOODS;19
06/may;1054;FRESH GOODS;19
02/may;1054;DRY GOODS;20
07/may;1054;DRY GOODS;20
03/may;1054;DRY GOODS;23
05/may;1054;DRY GOODS;23
04/may;1054;DRY GOODS;24
06/may;1054;DRY GOODS;28
02/may;1057;FRESH GOODS;10
03/may;1057;FRESH GOODS;11
04/may;1057;FRESH GOODS;12
05/may;1057;FRESH GOODS;13
06/may;1057;FRESH GOODS;13
02/may;1057;DRY GOODS;16
07/may;1057;FRESH GOODS;16
03/may;1057;DRY GOODS;17
07/may;1057;DRY GOODS;17
04/may;1057;DRY GOODS;20
05/may;1057;DRY GOODS;22
06/may;1057;DRY GOODS;42
03/may;1058;FRESH GOODS;13
02/may;1058;FRESH GOODS;15
05/may;1058;FRESH GOODS;16
04/may;1058;FRESH GOODS;17
07/may;1058;FRESH GOODS;17
06/may;1058;FRESH GOODS;19
04/may;1058;DRY GOODS;20
07/may;1058;DRY GOODS;20
03/may;1058;DRY GOODS;22
02/may;1058;DRY GOODS;27
05/may;1058;DRY GOODS;27
06/may;1058;DRY GOODS;33
03/may;1391;FRESH GOODS;10
04/may;1391;FRESH GOODS;10
02/may;1391;FRESH GOODS;13
06/may;1391;FRESH GOODS;14
05/may;1391;FRESH GOODS;16
03/may;1391;DRY GOODS;17
07/may;1391;DRY GOODS;17
02/may;1391;DRY GOODS;19
05/may;1391;DRY GOODS;20
07/may;1391;FRESH GOODS;21
06/may;1391;DRY GOODS;24
04/may;1391;DRY GOODS;25
02/may;1392;FRESH GOODS;12
04/may;1392;FRESH GOODS;13
05/may;1392;FRESH GOODS;13
07/may;1392;FRESH GOODS;13
06/may;1392;FRESH GOODS;16
03/may;1392;DRY GOODS;19
03/may;1392;FRESH GOODS;20
04/may;1392;DRY GOODS;21
02/may;1392;DRY GOODS;22
07/may;1392;DRY GOODS;22
05/may;1392;DRY GOODS;25
06/may;1392;DRY GOODS;29
02/may;1397;FRESH GOODS;11
05/may;1397;FRESH GOODS;11
03/may;1397;FRESH GOODS;12
07/may;1397;FRESH GOODS;12
02/may;1397;DRY GOODS;14
04/may;1397;DRY GOODS;15
06/may;1397;FRESH GOODS;15
03/may;1397;DRY GOODS;16
05/may;1397;DRY GOODS;17
04/may;1397;FRESH GOODS;17
06/may;1397;DRY GOODS;20
02/may;1415;FRESH GOODS;13
04/may;1415;FRESH GOODS;14
03/may;1415;FRESH GOODS;16
05/may;1415;FRESH GOODS;17
07/may;1415;FRESH GOODS;18
06/may;1415;FRESH GOODS;20
03/may;1415;DRY GOODS;22
02/may;1415;DRY GOODS;26
07/may;1415;DRY GOODS;28
04/may;1415;DRY GOODS;29
06/may;1415;DRY GOODS;30
05/may;1415;DRY GOODS;32
02/may;1503;FRESH GOODS;10
03/may;1503;FRESH GOODS;11
05/may;1503;FRESH GOODS;12
04/may;1503;FRESH GOODS;13
06/may;1503;FRESH GOODS;13
07/may;1503;FRESH GOODS;14
03/may;1503;DRY GOODS;18
04/may;1503;DRY GOODS;18
07/may;1503;DRY GOODS;18
02/may;1503;DRY GOODS;20
06/may;1503;DRY GOODS;21
05/may;1503;DRY GOODS;22
07/may;1700;DRY GOODS;17
02/may;1700;FRESH GOODS;17
04/may;1700;FRESH GOODS;19
05/may;1700;FRESH GOODS;21
06/may;1700;FRESH GOODS;21
07/may;1700;FRESH GOODS;22
03/may;1700;FRESH GOODS;23
06/may;1700;DRY GOODS;24
03/may;1700;DRY GOODS;25
04/may;1700;DRY GOODS;27
05/may;1700;DRY GOODS;28
02/may;1700;DRY GOODS;29
07/may;1706;DRY GOODS;12
02/may;1706;FRESH GOODS;13
03/may;1706;FRESH GOODS;13
05/may;1706;FRESH GOODS;14
04/may;1706;FRESH GOODS;17
07/may;1706;FRESH GOODS;17
03/may;1706;DRY GOODS;18
04/may;1706;DRY GOODS;18
02/may;1706;DRY GOODS;19
05/may;1706;DRY GOODS;19
06/may;1706;FRESH GOODS;19
06/may;1706;DRY GOODS;29
06/may;1707;FRESH GOODS;11
07/may;1707;FRESH GOODS;12
03/may;1707;FRESH GOODS;13
04/may;1707;FRESH GOODS;13
03/may;1707;DRY GOODS;14
02/may;1707;FRESH GOODS;14
05/may;1707;FRESH GOODS;14
04/may;1707;DRY GOODS;15
02/may;1707;DRY GOODS;17
05/may;1707;DRY GOODS;17
06/may;1707;DRY GOODS;17
07/may;1707;DRY GOODS;38
05/may;1715;FRESH GOODS;9
04/may;1715;FRESH GOODS;10
04/may;1715;DRY GOODS;11
07/may;1715;FRESH GOODS;11
06/may;1715;DRY GOODS;13
03/may;1715;FRESH GOODS;13
03/may;1715;DRY GOODS;14
07/may;1715;DRY GOODS;14
06/may;1715;FRESH GOODS;15
02/may;1715;DRY GOODS;17
02/may;1715;FRESH GOODS;18
05/may;1715;DRY GOODS;22
04/may;1902;FRESH GOODS;9
03/may;1902;FRESH GOODS;10
07/may;1902;FRESH GOODS;10
06/may;1902;FRESH GOODS;12
03/may;1902;DRY GOODS;13
05/may;1902;DRY GOODS;14
04/may;1902;DRY GOODS;15
07/may;1902;DRY GOODS;15
02/may;1902;FRESH GOODS;15
05/may;1902;FRESH GOODS;15
02/may;1902;DRY GOODS;17
06/may;1902;DRY GOODS;17
06/may;1904;DRY GOODS;4
07/may;1904;DRY GOODS;8
03/may;1904;DRY GOODS;9
02/may;1904;FRESH GOODS;10
03/may;1904;FRESH GOODS;10
04/may;1904;FRESH GOODS;10
02/may;1904;DRY GOODS;11
04/may;1904;DRY GOODS;11
05/may;1904;DRY GOODS;11
05/may;1904;FRESH GOODS;11
06/may;1904;FRESH GOODS;12
07/may;1904;FRESH GOODS;44
03/may;1906;FRESH GOODS;12
04/may;1906;FRESH GOODS;13
02/may;1906;FRESH GOODS;14
05/may;1906;FRESH GOODS;15
06/may;1906;FRESH GOODS;16
07/may;1906;FRESH GOODS;16
06/may;1906;DRY GOODS;23
04/may;1906;DRY GOODS;24
07/may;1906;DRY GOODS;26
03/may;1906;DRY GOODS;28
05/may;1906;DRY GOODS;29
02/may;1906;DRY GOODS;33
03/may;1908;FRESH GOODS;11
02/may;1908;FRESH GOODS;12
06/may;1908;FRESH GOODS;13
07/may;1908;DRY GOODS;14
05/may;1908;FRESH GOODS;15
06/may;1908;DRY GOODS;16
04/may;1908;DRY GOODS;17
04/may;1908;FRESH GOODS;17
02/may;1908;DRY GOODS;18
03/may;1908;DRY GOODS;18
07/may;1908;FRESH GOODS;20
05/may;1908;DRY GOODS;21
02/may;1909;FRESH GOODS;10
03/may;1909;FRESH GOODS;12
04/may;1909;FRESH GOODS;14
06/may;1909;FRESH GOODS;14
07/may;1909;FRESH GOODS;14
05/may;1909;FRESH GOODS;16
03/may;1909;DRY GOODS;19
06/may;1909;DRY GOODS;19
04/may;1909;DRY GOODS;20
05/may;1909;DRY GOODS;21
02/may;1909;DRY GOODS;23
07/may;1909;DRY GOODS;58
02/may;1910;FRESH GOODS;10
03/may;1910;FRESH GOODS;12
04/may;1910;FRESH GOODS;13
05/may;1910;FRESH GOODS;13
06/may;1910;FRESH GOODS;13
07/may;1910;DRY GOODS;16
07/may;1910;FRESH GOODS;16
04/may;1910;DRY GOODS;19
06/may;1910;DRY GOODS;19
05/may;1910;DRY GOODS;20
02/may;1910;DRY GOODS;21
03/may;1910;DRY GOODS;21
02/may;1911;FRESH GOODS;10
03/may;1911;FRESH GOODS;12
05/may;1911;FRESH GOODS;12
07/may;1911;FRESH GOODS;12
07/may;1911;DRY GOODS;13
06/may;1911;FRESH GOODS;13
03/may;1911;DRY GOODS;17
04/may;1911;FRESH GOODS;17
04/may;1911;DRY GOODS;18
06/may;1911;DRY GOODS;19
02/may;1911;DRY GOODS;25
05/may;1911;DRY GOODS;28
04/may;1978;FRESH GOODS;15
03/may;1978;FRESH GOODS;17
07/may;1978;FRESH GOODS;18
02/may;1978;FRESH GOODS;19
05/may;1978;FRESH GOODS;20
06/may;1978;FRESH GOODS;20
07/may;1978;DRY GOODS;25
05/may;1978;DRY GOODS;29
06/may;1978;DRY GOODS;29
02/may;1978;DRY GOODS;33
04/may;1978;DRY GOODS;37
03/may;1978;DRY GOODS;44
02/may;1981;FRESH GOODS;11
03/may;1981;FRESH GOODS;11
07/may;1981;FRESH GOODS;12
07/may;1981;DRY GOODS;13
03/may;1981;DRY GOODS;14
04/may;1981;FRESH GOODS;14
06/may;1981;FRESH GOODS;14
05/may;1981;FRESH GOODS;15
02/may;1981;DRY GOODS;17
04/may;1981;DRY GOODS;17
06/may;1981;DRY GOODS;19
05/may;1981;DRY GOODS;20
02/may;1985;FRESH GOODS;12
03/may;1985;FRESH GOODS;12
04/may;1985;FRESH GOODS;14
06/may;1985;FRESH GOODS;15
07/may;1985;FRESH GOODS;15
07/may;1985;DRY GOODS;16
04/may;1985;DRY GOODS;17
06/may;1985;DRY GOODS;17
03/may;1985;DRY GOODS;20
05/may;1985;DRY GOODS;20
02/may;1985;DRY GOODS;21
05/may;1985;FRESH GOODS;25
02/may;2076;FRESH GOODS;11
03/may;2076;FRESH GOODS;12
05/may;2076;FRESH GOODS;12
07/may;2076;FRESH GOODS;12
04/may;2076;FRESH GOODS;13
07/may;2076;DRY GOODS;15
03/may;2076;DRY GOODS;16
06/may;2076;FRESH GOODS;16
05/may;2076;DRY GOODS;19
04/may;2076;DRY GOODS;20
06/may;2076;DRY GOODS;20
02/may;2076;DRY GOODS;21
03/may;2401;DRY GOODS;5
02/may;2401;DRY GOODS;8
04/may;2401;DRY GOODS;8
05/may;2401;DRY GOODS;8
07/may;2401;DRY GOODS;8
04/may;2401;FRESH GOODS;8
06/may;2401;DRY GOODS;9
03/may;2401;FRESH GOODS;9
02/may;2401;FRESH GOODS;10
07/may;2401;FRESH GOODS;10
05/may;2401;FRESH GOODS;12
06/may;2401;FRESH GOODS;14
07/may;2596;DRY GOODS;7
02/may;2596;FRESH GOODS;9
02/may;2596;DRY GOODS;10
05/may;2596;DRY GOODS;10
03/may;2596;FRESH GOODS;10
06/may;2596;DRY GOODS;11
06/may;2596;FRESH GOODS;11
03/may;2596;DRY GOODS;12
04/may;2596;FRESH GOODS;12
07/may;2596;FRESH GOODS;12
05/may;2596;FRESH GOODS;13
04/may;2596;DRY GOODS;14
02/may;2632;FRESH GOODS;20
03/may;2632;FRESH GOODS;21
04/may;2632;FRESH GOODS;22
05/may;2632;FRESH GOODS;22
07/may;2632;FRESH GOODS;24
07/may;2632;DRY GOODS;29
03/may;2632;DRY GOODS;37
04/may;2632;DRY GOODS;39
02/may;2632;DRY GOODS;40
05/may;2632;DRY GOODS;40
06/may;2632;DRY GOODS;43
06/may;2632;FRESH GOODS;58
02/may;2692;FRESH GOODS;9
03/may;2692;FRESH GOODS;10
04/may;2692;FRESH GOODS;10
05/may;2692;FRESH GOODS;10
07/may;2692;DRY GOODS;11
06/may;2692;FRESH GOODS;12
07/may;2692;FRESH GOODS;12
03/may;2692;DRY GOODS;13
04/may;2692;DRY GOODS;14
05/may;2692;DRY GOODS;15
02/may;2692;DRY GOODS;16
06/may;2692;DRY GOODS;19
03/may;2756;DRY GOODS;8
07/may;2756;DRY GOODS;11
04/may;2756;DRY GOODS;12
06/may;2756;DRY GOODS;12
05/may;2756;FRESH GOODS;12
02/may;2756;DRY GOODS;13
03/may;2756;FRESH GOODS;13
02/may;2756;FRESH GOODS;14
04/may;2756;FRESH GOODS;14
06/may;2756;FRESH GOODS;14
05/may;2756;DRY GOODS;15
07/may;2756;FRESH GOODS;15
03/may;2864;FRESH GOODS;12
04/may;2864;FRESH GOODS;13
02/may;2864;FRESH GOODS;14
07/may;2864;DRY GOODS;16
05/may;2864;FRESH GOODS;16
06/may;2864;FRESH GOODS;16
07/may;2864;FRESH GOODS;17
03/may;2864;DRY GOODS;21
04/may;2864;DRY GOODS;21
05/may;2864;DRY GOODS;21
06/may;2864;DRY GOODS;21
02/may;2864;DRY GOODS;24
07/may;3191;DRY GOODS;10
05/may;3191;FRESH GOODS;10
07/may;3191;FRESH GOODS;10
05/may;3191;DRY GOODS;11
03/may;3191;FRESH GOODS;11
04/may;3191;DRY GOODS;12
06/may;3191;FRESH GOODS;12
04/may;3191;FRESH GOODS;13
06/may;3191;DRY GOODS;14
02/may;3191;DRY GOODS;15
03/may;3191;DRY GOODS;17
02/may;3191;FRESH GOODS;18
03/may;3192;FRESH GOODS;13
02/may;3192;FRESH GOODS;15
05/may;3192;FRESH GOODS;16
07/may;3192;FRESH GOODS;17
04/may;3192;FRESH GOODS;18
06/may;3192;FRESH GOODS;18
02/may;3192;DRY GOODS;25
03/may;3192;DRY GOODS;25
06/may;3192;DRY GOODS;26
07/may;3192;DRY GOODS;28
04/may;3192;DRY GOODS;31
05/may;3192;DRY GOODS;33
03/may;3332;FRESH GOODS;6
02/may;3332;FRESH GOODS;9
06/may;3332;FRESH GOODS;9
05/may;3332;FRESH GOODS;10
05/may;3332;DRY GOODS;11
04/may;3332;FRESH GOODS;11
07/may;3332;FRESH GOODS;11
02/may;3332;DRY GOODS;12
03/may;3332;DRY GOODS;12
04/may;3332;DRY GOODS;12
07/may;3332;DRY GOODS;12
06/may;3332;DRY GOODS;16
02/may;3368;FRESH GOODS;10
03/may;3368;FRESH GOODS;12
07/may;3368;DRY GOODS;13
04/may;3368;FRESH GOODS;14
05/may;3368;FRESH GOODS;15
07/may;3368;FRESH GOODS;15
03/may;3368;DRY GOODS;16
04/may;3368;DRY GOODS;17
05/may;3368;DRY GOODS;17
06/may;3368;DRY GOODS;17
06/may;3368;FRESH GOODS;17
02/may;3368;DRY GOODS;29
03/may;3386;FRESH GOODS;8
04/may;3386;FRESH GOODS;10
05/may;3386;FRESH GOODS;10
06/may;3386;FRESH GOODS;11
03/may;3386;DRY GOODS;12
07/may;3386;DRY GOODS;12
02/may;3386;FRESH GOODS;12
05/may;3386;DRY GOODS;13
06/may;3386;DRY GOODS;13
07/may;3386;FRESH GOODS;13
02/may;3386;DRY GOODS;15
04/may;3386;DRY GOODS;17
02/may;3387;FRESH GOODS;13
04/may;3387;FRESH GOODS;15
03/may;3387;FRESH GOODS;16
07/may;3387;FRESH GOODS;17
05/may;3387;FRESH GOODS;18
06/may;3387;FRESH GOODS;19
03/may;3387;DRY GOODS;22
07/may;3387;DRY GOODS;22
04/may;3387;DRY GOODS;23
02/may;3387;DRY GOODS;24
05/may;3387;DRY GOODS;32
06/may;3387;DRY GOODS;32
03/may;3395;FRESH GOODS;10
05/may;3395;FRESH GOODS;10
02/may;3395;FRESH GOODS;11
06/may;3395;FRESH GOODS;11
04/may;3395;FRESH GOODS;13
07/may;3395;FRESH GOODS;13
03/may;3395;DRY GOODS;15
06/may;3395;DRY GOODS;16
07/may;3395;DRY GOODS;16
04/may;3395;DRY GOODS;17
02/may;3395;DRY GOODS;19
05/may;3395;DRY GOODS;19
04/may;3464;FRESH GOODS;11
05/may;3464;FRESH GOODS;11
03/may;3464;FRESH GOODS;12
06/may;3464;FRESH GOODS;12
07/may;3464;FRESH GOODS;13
07/may;3464;DRY GOODS;16
03/may;3464;DRY GOODS;17
02/may;3464;FRESH GOODS;18
06/may;3464;DRY GOODS;19
02/may;3464;DRY GOODS;20
04/may;3464;DRY GOODS;20
05/may;3464;DRY GOODS;22
02/may;3466;FRESH GOODS;13
03/may;3466;FRESH GOODS;14
04/may;3466;FRESH GOODS;14
07/may;3466;FRESH GOODS;16
05/may;3466;FRESH GOODS;17
06/may;3466;FRESH GOODS;17
07/may;3466;DRY GOODS;18
03/may;3466;DRY GOODS;22
04/may;3466;DRY GOODS;24
02/may;3466;DRY GOODS;25
06/may;3466;DRY GOODS;25
05/may;3466;DRY GOODS;30
02/may;3473;FRESH GOODS;13
03/may;3473;FRESH GOODS;14
04/may;3473;FRESH GOODS;15
06/may;3473;FRESH GOODS;20
07/may;3473;FRESH GOODS;20
07/may;3473;DRY GOODS;22
05/may;3473;FRESH GOODS;23
02/may;3473;DRY GOODS;24
03/may;3473;DRY GOODS;27
04/may;3473;DRY GOODS;27
06/may;3473;DRY GOODS;29
05/may;3473;DRY GOODS;32
02/may;3573;FRESH GOODS;9
03/may;3573;FRESH GOODS;11
04/may;3573;FRESH GOODS;11
06/may;3573;FRESH GOODS;12
07/may;3573;FRESH GOODS;14
03/may;3573;DRY GOODS;15
04/may;3573;DRY GOODS;16
05/may;3573;DRY GOODS;16
06/may;3573;DRY GOODS;16
05/may;3573;FRESH GOODS;16
07/may;3573;DRY GOODS;17
02/may;3573;DRY GOODS;20
02/may;3583;FRESH GOODS;12
03/may;3583;FRESH GOODS;12
04/may;3583;FRESH GOODS;13
05/may;3583;FRESH GOODS;15
07/may;3583;FRESH GOODS;15
06/may;3583;FRESH GOODS;18
03/may;3583;DRY GOODS;21
07/may;3583;DRY GOODS;21
04/may;3583;DRY GOODS;22
02/may;3583;DRY GOODS;24
05/may;3583;DRY GOODS;24
06/may;3583;DRY GOODS;26
04/may;3585;FRESH GOODS;9
02/may;3585;FRESH GOODS;10
03/may;3585;FRESH GOODS;11
06/may;3585;FRESH GOODS;11
05/may;3585;FRESH GOODS;12
07/may;3585;FRESH GOODS;13
04/may;3585;DRY GOODS;15
05/may;3585;DRY GOODS;15
03/may;3585;DRY GOODS;16
06/may;3585;DRY GOODS;16
02/may;3585;DRY GOODS;17
07/may;3585;DRY GOODS;61
07/may;3594;DRY GOODS;10
05/may;3594;FRESH GOODS;10
03/may;3594;FRESH GOODS;11
07/may;3594;FRESH GOODS;11
04/may;3594;FRESH GOODS;12
06/may;3594;FRESH GOODS;12
02/may;3594;DRY GOODS;15
03/may;3594;DRY GOODS;15
06/may;3594;DRY GOODS;15
02/may;3594;FRESH GOODS;15
05/may;3594;DRY GOODS;18
04/may;3594;DRY GOODS;37
07/may;3696;DRY GOODS;10
02/may;3696;FRESH GOODS;10
03/may;3696;FRESH GOODS;10
04/may;3696;FRESH GOODS;10
03/may;3696;DRY GOODS;11
06/may;3696;DRY GOODS;11
05/may;3696;FRESH GOODS;11
07/may;3696;FRESH GOODS;11
05/may;3696;DRY GOODS;12
02/may;3696;DRY GOODS;13
06/may;3696;FRESH GOODS;13
04/may;3696;DRY GOODS;21
02/may;3698;FRESH GOODS;9
03/may;3698;FRESH GOODS;10
05/may;3698;FRESH GOODS;11
06/may;3698;FRESH GOODS;12
07/may;3698;FRESH GOODS;12
04/may;3698;FRESH GOODS;14
06/may;3698;DRY GOODS;16
03/may;3698;DRY GOODS;17
07/may;3698;DRY GOODS;18
02/may;3698;DRY GOODS;20
04/may;3698;DRY GOODS;21
05/may;3698;DRY GOODS;22
03/may;3780;FRESH GOODS;6
04/may;3780;FRESH GOODS;6
05/may;3780;FRESH GOODS;6
02/may;3780;FRESH GOODS;7
07/may;3780;FRESH GOODS;7
05/may;3780;DRY GOODS;8
06/may;3780;FRESH GOODS;8
03/may;3780;DRY GOODS;9
04/may;3780;DRY GOODS;9
02/may;3780;DRY GOODS;10
06/may;3780;DRY GOODS;10
02/may;3886;FRESH GOODS;14
03/may;3886;FRESH GOODS;14
04/may;3886;FRESH GOODS;17
05/may;3886;FRESH GOODS;18
07/may;3886;FRESH GOODS;18
06/may;3886;FRESH GOODS;21
03/may;3886;DRY GOODS;23
07/may;3886;DRY GOODS;24
06/may;3886;DRY GOODS;26
02/may;3886;DRY GOODS;27
04/may;3886;DRY GOODS;27
05/may;3886;DRY GOODS;27
02/may;4121;FRESH GOODS;11
03/may;4121;FRESH GOODS;11
04/may;4121;FRESH GOODS;14
05/may;4121;FRESH GOODS;14
07/may;4121;FRESH GOODS;14
07/may;4121;DRY GOODS;18
02/may;4121;DRY GOODS;19
06/may;4121;FRESH GOODS;19
05/may;4121;DRY GOODS;20
03/may;4121;DRY GOODS;22
06/may;4121;DRY GOODS;26
04/may;4121;DRY GOODS;27
05/may;4289;FRESH GOODS;8
06/may;4289;FRESH GOODS;9
07/may;4289;FRESH GOODS;9
05/may;4289;DRY GOODS;10
02/may;4289;FRESH GOODS;10
03/may;4289;DRY GOODS;11
03/may;4289;FRESH GOODS;11
04/may;4289;FRESH GOODS;11
04/may;4289;DRY GOODS;12
07/may;4289;DRY GOODS;12
02/may;4289;DRY GOODS;13
06/may;4289;DRY GOODS;14
07/may;4291;DRY GOODS;10
04/may;4291;DRY GOODS;11
03/may;4291;FRESH GOODS;11
05/may;4291;FRESH GOODS;11
07/may;4291;FRESH GOODS;11
05/may;4291;DRY GOODS;12
02/may;4291;DRY GOODS;14
03/may;4291;DRY GOODS;14
06/may;4291;DRY GOODS;15
04/may;4291;FRESH GOODS;15
06/may;4291;FRESH GOODS;15
02/may;4291;FRESH GOODS;20
03/may;4321;FRESH GOODS;11
04/may;4321;FRESH GOODS;13
02/may;4321;FRESH GOODS;14
05/may;4321;FRESH GOODS;14
07/may;4321;DRY GOODS;15
07/may;4321;FRESH GOODS;16
04/may;4321;DRY GOODS;17
06/may;4321;FRESH GOODS;18
02/may;4321;DRY GOODS;21
03/may;4321;DRY GOODS;21
05/may;4321;DRY GOODS;21
06/may;4321;DRY GOODS;23
02/may;4322;FRESH GOODS;10
04/may;4322;FRESH GOODS;10
06/may;4322;FRESH GOODS;10
03/may;4322;FRESH GOODS;11
05/may;4322;FRESH GOODS;11
07/may;4322;FRESH GOODS;13
07/may;4322;DRY GOODS;14
03/may;4322;DRY GOODS;15
04/may;4322;DRY GOODS;15
05/may;4322;DRY GOODS;15
06/may;4322;DRY GOODS;15
02/may;4322;DRY GOODS;16
05/may;4327;FRESH GOODS;9
07/may;4327;DRY GOODS;10
02/may;4327;FRESH GOODS;10
03/may;4327;FRESH GOODS;10
04/may;4327;FRESH GOODS;10
07/may;4327;FRESH GOODS;10
06/may;4327;FRESH GOODS;11
04/may;4327;DRY GOODS;12
05/may;4327;DRY GOODS;12
06/may;4327;DRY GOODS;12
03/may;4327;DRY GOODS;13
02/may;4327;DRY GOODS;16
03/may;4508;FRESH GOODS;9
02/may;4508;FRESH GOODS;10
04/may;4508;FRESH GOODS;10
06/may;4508;FRESH GOODS;11
05/may;4508;FRESH GOODS;13
07/may;4508;FRESH GOODS;13
03/may;4508;DRY GOODS;16
05/may;4508;DRY GOODS;17
07/may;4508;DRY GOODS;17
04/may;4508;DRY GOODS;19
02/may;4508;DRY GOODS;20
06/may;4508;DRY GOODS;20
03/may;4526;FRESH GOODS;8
02/may;4526;FRESH GOODS;9
04/may;4526;FRESH GOODS;9
05/may;4526;FRESH GOODS;9
07/may;4526;DRY GOODS;10
06/may;4526;FRESH GOODS;10
07/may;4526;FRESH GOODS;10
03/may;4526;DRY GOODS;12
05/may;4526;DRY GOODS;13
06/may;4526;DRY GOODS;13
04/may;4526;DRY GOODS;14
02/may;4526;DRY GOODS;15
05/may;4573;FRESH GOODS;5
07/may;4573;FRESH GOODS;6
07/may;4573;DRY GOODS;7
06/may;4573;FRESH GOODS;7
02/may;4573;DRY GOODS;8
05/may;4573;DRY GOODS;8
02/may;4573;FRESH GOODS;8
03/may;4573;FRESH GOODS;8
04/may;4573;DRY GOODS;9
06/may;4573;DRY GOODS;9
03/may;4573;DRY GOODS;10
04/may;4573;FRESH GOODS;10
03/may;4593;FRESH GOODS;6
04/may;4593;FRESH GOODS;6
07/may;4593;FRESH GOODS;6
02/may;4593;FRESH GOODS;7
05/may;4593;FRESH GOODS;7
04/may;4593;DRY GOODS;8
06/may;4593;DRY GOODS;8
02/may;4593;DRY GOODS;9
03/may;4593;DRY GOODS;9
05/may;4593;DRY GOODS;9
07/may;4593;DRY GOODS;9
06/may;4593;FRESH GOODS;11
04/may;4696;FRESH GOODS;10
03/may;4696;FRESH GOODS;11
05/may;4696;FRESH GOODS;11
06/may;4696;FRESH GOODS;11
07/may;4696;FRESH GOODS;11
03/may;4696;DRY GOODS;13
02/may;4696;FRESH GOODS;13
04/may;4696;DRY GOODS;15
06/may;4696;DRY GOODS;15
02/may;4696;DRY GOODS;16
05/may;4696;DRY GOODS;21
07/may;4696;DRY GOODS;25
03/may;4860;FRESH GOODS;11
05/may;4860;FRESH GOODS;13
07/may;4860;FRESH GOODS;14
04/may;4860;FRESH GOODS;15
04/may;4860;DRY GOODS;16
02/may;4860;FRESH GOODS;16
06/may;4860;FRESH GOODS;16
07/may;4860;DRY GOODS;20
03/may;4860;DRY GOODS;21
05/may;4860;DRY GOODS;21
06/may;4860;DRY GOODS;21
02/may;4860;DRY GOODS;22
02/may;4895;FRESH GOODS;9
06/may;4895;FRESH GOODS;9
07/may;4895;DRY GOODS;13
05/may;4895;FRESH GOODS;13
03/may;4895;FRESH GOODS;14
04/may;4895;FRESH GOODS;15
