date;store;type;pallets
07/may;212;FRESH GOODS;21
05/may;212;FRESH GOODS;22
06/may;212;FRESH GOODS;26
02/may;212;DRY GOODS;46
03/may;212;DRY GOODS;46
06/may;212;DRY GOODS;48
04/may;212;DRY GOODS;58
05/may;212;DRY GOODS;58
02/may;213;FRESH GOODS;11
03/may;213;FRESH GOODS;12
04/may;213;FRESH GOODS;12
07/may;213;FRESH GOODS;12
05/may;213;FRESH GOODS;14
02/may;213;DRY GOODS;16
06/may;213;FRESH GOODS;16
03/may;213;DRY GOODS;19
05/may;213;DRY GOODS;23
04/may;213;DRY GOODS;26
06/may;213;DRY GOODS;26
02/may;214;FRESH GOODS;18
04/may;214;FRESH GOODS;18
03/may;214;FRESH GOODS;19
07/may;214;FRESH GOODS;20
05/may;214;FRESH GOODS;21
06/may;214;FRESH GOODS;23
02/may;214;DRY GOODS;32
05/may;214;DRY GOODS;38
04/may;214;DRY GOODS;39
03/may;214;DRY GOODS;41
06/may;214;DRY GOODS;46
02/may;215;FRESH GOODS;22
03/may;215;FRESH GOODS;23
07/may;215;FRESH GOODS;25
04/may;215;FRESH GOODS;27
05/may;215;FRESH GOODS;29
06/may;215;FRESH GOODS;31
07/may;215;DRY GOODS;36
02/may;215;DRY GOODS;37
04/may;215;DRY GOODS;46
03/may;215;DRY GOODS;50
06/may;215;DRY GOODS;57
05/may;215;DRY GOODS;61
02/may;217;FRESH GOODS;19
03/may;217;FRESH GOODS;21
04/may;217;FRESH GOODS;26
07/may;217;FRESH GOODS;27
05/may;217;FRESH GOODS;28
07/may;217;DRY GOODS;31
06/may;217;FRESH GOODS;33
04/may;217;DRY GOODS;41
02/may;217;DRY GOODS;44
03/may;217;DRY GOODS;45
05/may;217;DRY GOODS;46
06/may;217;DRY GOODS;50
02/may;218;FRESH GOODS;14
07/may;218;FRESH GOODS;16
05/may;218;FRESH GOODS;19
03/may;218;FRESH GOODS;21
06/may;218;FRESH GOODS;21
03/may;218;DRY GOODS;23
07/may;218;DRY GOODS;25
02/may;218;DRY GOODS;28
05/may;218;DRY GOODS;30
04/may;218;DRY GOODS;32
06/may;218;DRY GOODS;33
04/may;218;FRESH GOODS;49
03/may;220;FRESH GOODS;14
02/may;220;FRESH GOODS;15
04/may;220;FRESH GOODS;15
06/may;220;FRESH GOODS;16
05/may;220;FRESH GOODS;17
07/may;220;FRESH GOODS;17
04/may;220;DRY GOODS;27
02/may;220;DRY GOODS;29
03/may;220;DRY GOODS;29
05/may;220;DRY GOODS;29
06/may;220;DRY GOODS;31
07/may;220;DRY GOODS;56
02/may;221;FRESH GOODS;10
04/may;221;FRESH GOODS;14
07/may;221;FRESH GOODS;14
03/may;221;FRESH GOODS;18
03/may;221;DRY GOODS;20
02/may;221;DRY GOODS;22
04/may;221;DRY GOODS;22
05/may;221;FRESH GOODS;22
06/may;221;FRESH GOODS;22
06/may;221;DRY GOODS;24
05/may;221;DRY GOODS;28
02/may;223;FRESH GOODS;17
03/may;223;FRESH GOODS;17
04/may;223;FRESH GOODS;18
05/may;223;FRESH GOODS;19
07/may;223;FRESH GOODS;20
06/may;223;FRESH GOODS;24
03/may;223;DRY GOODS;32
07/may;223;DRY GOODS;35
04/may;223;DRY GOODS;36
05/may;223;DRY GOODS;40
06/may;223;DRY GOODS;40
02/may;223;DRY GOODS;43
03/may;229;FRESH GOODS;10
02/may;229;FRESH GOODS;12
05/may;229;FRESH GOODS;13
06/may;229;FRESH GOODS;14
07/may;229;FRESH GOODS;14
02/may;229;DRY GOODS;17
03/may;229;DRY GOODS;18
06/may;229;DRY GOODS;18
04/may;229;FRESH GOODS;18
05/may;229;DRY GOODS;19
04/may;229;DRY GOODS;20
07/may;229;DRY GOODS;20
02/may;232;FRESH GOODS;13
03/may;232;FRESH GOODS;15
04/may;232;FRESH GOODS;16
05/may;232;FRESH GOODS;18
07/may;232;FRESH GOODS;19
06/may;232;FRESH GOODS;20
07/may;232;DRY GOODS;26
02/may;232;DRY GOODS;27
04/may;232;DRY GOODS;32
03/may;232;DRY GOODS;33
06/may;232;DRY GOODS;33
05/may;232;DRY GOODS;39
04/may;233;FRESH GOODS;12
02/may;233;FRESH GOODS;13
03/may;233;FRESH GOODS;13
05/may;233;FRESH GOODS;14
07/may;233;FRESH GOODS;14
06/may;233;FRESH GOODS;15
04/may;233;DRY GOODS;18
